Refdatum,rki_7days,rki_14days,rki_28days
2020-11-08,160.24955436720143,151.4260249554367,110.5614973262032
2020-11-09,148.3065953654189,151.7825311942959,114.88413547237076
2020-11-10,144.91978609625667,154.72370766488413,119.60784313725489
2020-11-11,134.40285204991088,150.71301247771837,122.45989304812834
2020-11-12,144.91978609625667,156.14973262032083,128.03030303030303
2020-11-13,157.0409982174688,159.98217468805703,134.40285204991088
2020-11-14,159.35828877005346,160.2495543672014,136.36363636363635
2020-11-15,161.85383244206773,161.0516934046346,138.14616755793224
2020-11-16,179.50089126559715,163.90374331550802,145.09803921568627
2020-11-17,190.01782531194294,167.46880570409982,150.04456327985739
2020-11-18,195.9001782531194,165.15151515151516,152.58467023172904
2020-11-19,190.5525846702317,167.7361853832442,155.4367201426025
2020-11-20,188.9483065953654,172.9946524064171,161.27450980392155
2020-11-21,194.65240641711227,177.00534759358288,163.72549019607843
2020-11-22,199.10873440285204,180.48128342245988,165.9536541889483
2020-11-23,203.3868092691622,191.44385026737967,171.61319073083777
2020-11-24,205.88235294117646,197.9500891265597,176.33689839572193
2020-11-25,219.4295900178253,207.66488413547236,179.18894830659536
2020-11-26,232.08556149732618,211.31907308377896,183.7344028520499
2020-11-27,236.00713012477718,212.4777183600713,186.22994652406416
2020-11-28,241.71122994652404,218.18181818181816,189.2156862745098
2020-11-29,250.08912655971477,224.59893048128342,192.825311942959
2020-11-30,249.01960784313724,226.20320855614972,195.05347593582886
2020-12-01,257.21925133689837,231.55080213903742,199.50980392156862
2020-12-02,269.8752228163993,244.65240641711227,204.9019607843137
2020-12-03,283.24420677361854,257.66488413547233,212.70053475935828
2020-12-04,300.35650623885914,268.1818181818182,220.58823529411762
2020-12-05,305.52584670231727,273.6185383244207,225.31194295900178
2020-12-06,317.825311942959,283.9572192513369,232.2192513368984
2020-12-07,349.01960784313724,299.01960784313724,245.23172905525846
2020-12-08,359.0017825311943,308.1105169340463,253.030303030303
2020-12-09,376.6488413547237,323.2620320855615,265.4634581105169
2020-12-10,391.8003565062388,337.5222816399287,274.4206773618538
2020-12-11,397.14795008912654,348.75222816399287,280.6149732620321
2020-12-12,423.88591800356505,364.70588235294116,291.4438502673797
2020-12-13,416.75579322638146,367.2905525846702,295.9447415329768
2020-12-14,412.83422459893046,380.9269162210338,303.5650623885918
2020-12-15,420.6773618538324,389.83957219251334,310.6951871657754
2020-12-16,412.1212121212121,394.3850267379679,319.5187165775401
2020-12-17,424.9554367201426,408.3778966131907,333.0213903743316
